Arabidopsis_thaliana
Bombus_terrestris
Caenorhabditis_elegans
Danio_rerio
Drosophila_melanogaster
Medicago_truncatula
Parasteatoda_tepidariorum
Populus_trichocarpa
Rhodnius_prolixus
Tetraodon_nigroviridis
Xenopus_tropicalis
